// key	ITEM_NAME_	ITEM_DESCRIPTION_
1020052	나무 몽둥이	다듬지 않은 거친 나무 몽둥이.\나무가시가 박히지 않도록 조심하자.
1020053	나무 몽둥이	다듬지 않은 거친 나무 몽둥이.\나무가시가 박히지 않도록 조심하자.
1020054	나무 몽둥이	다듬지 않은 거친 나무 몽둥이.\나무가시가 박히지 않도록 조심하자.
1020055	나무 몽둥이	다듬지 않은 거친 나무 몽둥이.\나무가시가 박히지 않도록 조심하자.
1020061	고무망치	물렁물렁한 고무 망치.\무기로 사용해야 하는데 고무로 만들어져서 큰일이다.
1020062	고무망치	물렁물렁한 고무 망치.\무기로 사용해야 하는데 고무로 만들어져서 큰일이다.
1020063	고무망치	물렁물렁한 고무 망치.\무기로 사용해야 하는데 고무로 만들어져서 큰일이다.
1020064	고무망치	물렁물렁한 고무 망치.\무기로 사용해야 하는데 고무로 만들어져서 큰일이다.
1020065	고무망치	물렁물렁한 고무 망치.\무기로 사용해야 하는데 고무로 만들어져서 큰일이다.
1020071	후라이팬	의외로 많은 사람들이 사용해 본 강력한 무기.\공격과 방어가 동시에 가능하다.
1020072	후라이팬	의외로 많은 사람들이 사용해 본 강력한 무기.\공격과 방어가 동시에 가능하다.
1020073	후라이팬	의외로 많은 사람들이 사용해 본 강력한 무기.\공격과 방어가 동시에 가능하다.
1020074	후라이팬	의외로 많은 사람들이 사용해 본 강력한 무기.\공격과 방어가 동시에 가능하다.
1020075	후라이팬	의외로 많은 사람들이 사용해 본 강력한 무기.\공격과 방어가 동시에 가능하다.
1030081	스탠드 마이크	선택해야만 한다. 노래와 마이크 중 어떤 것을 무기로 사용할지… 
1030082	스탠드 마이크	선택해야만 한다. 노래와 마이크 중 어떤 것을 무기로 사용할지… 
1030083	스탠드 마이크	선택해야만 한다. 노래와 마이크 중 어떤 것을 무기로 사용할지… 
1030084	스탠드 마이크	선택해야만 한다. 노래와 마이크 중 어떤 것을 무기로 사용할지… 
1030085	스탠드 마이크	선택해야만 한다. 노래와 마이크 중 어떤 것을 무기로 사용할지… 
1030091	표창	이국의 암살자가 사용하던 작은 표창.\던지는 데 약간의 테크닉이 필요할 것 같다.
1030092	표창	이국의 암살자가 사용하던 작은 표창.\던지는 데 약간의 테크닉이 필요할 것 같다.
1030093	표창	이국의 암살자가 사용하던 작은 표창.\던지는 데 약간의 테크닉이 필요할 것 같다.
1030094	표창	이국의 암살자가 사용하던 작은 표창.\던지는 데 약간의 테크닉이 필요할 것 같다.
1030095	표창	이국의 암살자가 사용하던 작은 표창.\던지는 데 약간의 테크닉이 필요할 것 같다.
1030101	권투 글러브	붉은 색 권투 글러브.\시원한 타격감이 일품이다.
1030102	권투 글러브	붉은 색 권투 글러브.\시원한 타격감이 일품이다.
1030103	권투 글러브	붉은 색 권투 글러브.\시원한 타격감이 일품이다.
1030104	권투 글러브	붉은 색 권투 글러브.\시원한 타격감이 일품이다.
1030105	권투 글러브	붉은 색 권투 글러브.\시원한 타격감이 일품이다.
1030111	요요	실을 감았다 펴며 노는 놀이기구.\실이 끊어지면 사용할 수 없다.
1030112	요요	실을 감았다 펴며 노는 놀이기구.\실이 끊어지면 사용할 수 없다.
1030113	요요	실을 감았다 펴며 노는 놀이기구.\실이 끊어지면 사용할 수 없다.
1030114	요요	실을 감았다 펴며 노는 놀이기구.\실이 끊어지면 사용할 수 없다.
1030115	요요	실을 감았다 펴며 노는 놀이기구.\실이 끊어지면 사용할 수 없다.
1030121	리볼버	6연발식 리볼버.\합법적인 루트로는 구할 수 없다.
1030122	리볼버	6연발식 리볼버.\합법적인 루트로는 구할 수 없다.
1030123	리볼버	6연발식 리볼버.\합법적인 루트로는 구할 수 없다.
1030124	리볼버	6연발식 리볼버.\합법적인 루트로는 구할 수 없다.
1030125	리볼버	6연발식 리볼버.\합법적인 루트로는 구할 수 없다.
1040131	채찍	보통은 동물을 길들일 때 사용한다.\사람이나 악마를 향해 사용하면 매우 아프다.
1040132	채찍	보통은 동물을 길들일 때 사용한다.\사람이나 악마를 향해 사용하면 매우 아프다.
1040133	채찍	보통은 동물을 길들일 때 사용한다.\사람이나 악마를 향해 사용하면 매우 아프다.
1040134	채찍	보통은 동물을 길들일 때 사용한다.\사람이나 악마를 향해 사용하면 매우 아프다.
1040135	채찍	보통은 동물을 길들일 때 사용한다.\사람이나 악마를 향해 사용하면 매우 아프다.
1040141	고속 다트	고속으로 날아가도록 개조된 다트.\그뿐이다. 다른 개조는 되어있지 않다.
1040142	고속 다트	고속으로 날아가도록 개조된 다트.\그뿐이다. 다른 개조는 되어있지 않다.
1040143	고속 다트	고속으로 날아가도록 개조된 다트.\그뿐이다. 다른 개조는 되어있지 않다.
1040144	고속 다트	고속으로 날아가도록 개조된 다트.\그뿐이다. 다른 개조는 되어있지 않다.
1040145	고속 다트	고속으로 날아가도록 개조된 다트.\그뿐이다. 다른 개조는 되어있지 않다.
1040151	마법사용 지팡이	누르면 무려 꽃가루가 튀어나온다.\사용하기에 따라 강력한 무기가 될 수 있을지도.
1040152	마법사용 지팡이	누르면 무려 꽃가루가 튀어나온다.\사용하기에 따라 강력한 무기가 될 수 있을지도.
1040153	마법사용 지팡이	누르면 무려 꽃가루가 튀어나온다.\사용하기에 따라 강력한 무기가 될 수 있을지도.
1040154	마법사용 지팡이	누르면 무려 꽃가루가 튀어나온다.\사용하기에 따라 강력한 무기가 될 수 있을지도.
1040155	마법사용 지팡이	누르면 무려 꽃가루가 튀어나온다.\사용하기에 따라 강력한 무기가 될 수 있을지도.
1040161	미니어처 바주카	바주카포의 미니어처 버전.\직접 들고다니면서 사용하려면 힘들 것 같다.
1040162	미니어처 바주카	바주카포의 미니어처 버전.\직접 들고다니면서 사용하려면 힘들 것 같다.
1040163	미니어처 바주카	바주카포의 미니어처 버전.\직접 들고다니면서 사용하려면 힘들 것 같다.
1040164	미니어처 바주카	바주카포의 미니어처 버전.\직접 들고다니면서 사용하려면 힘들 것 같다.
1040165	미니어처 바주카	바주카포의 미니어처 버전.\직접 들고다니면서 사용하려면 힘들 것 같다.
1040171	정지 표지판	정지 표시가 그려져 있는 스탠드형 표지판.\철로 만들어져 있어 상당히 강력하다.
1040172	정지 표지판	정지 표시가 그려져 있는 스탠드형 표지판.\철로 만들어져 있어 상당히 강력하다.
1040173	정지 표지판	정지 표시가 그려져 있는 스탠드형 표지판.\철로 만들어져 있어 상당히 강력하다.
1040174	정지 표지판	정지 표시가 그려져 있는 스탠드형 표지판.\철로 만들어져 있어 상당히 강력하다.
1040175	정지 표지판	정지 표시가 그려져 있는 스탠드형 표지판.\철로 만들어져 있어 상당히 강력하다.
1050181	서바이벌 손도끼	캠핑족에게 열풍! 누구든 쉽게 휴대할 수 있는 서바이벌 손도끼
1050182	서바이벌 손도끼	캠핑족에게 열풍! 누구든 쉽게 휴대할 수 있는 서바이벌 손도끼
1050183	서바이벌 손도끼	캠핑족에게 열풍! 누구든 쉽게 휴대할 수 있는 서바이벌 손도끼
1050184	서바이벌 손도끼	캠핑족에게 열풍! 누구든 쉽게 휴대할 수 있는 서바이벌 손도끼
1050185	서바이벌 손도끼	캠핑족에게 열풍! 누구든 쉽게 휴대할 수 있는 서바이벌 손도끼
1050191	도끼	장작을 팰 때, 사람과 악마를 팰 때 사용할 수 있는 실용적인 무기.\나무에게 사용하는 것을 권장한다.
1050192	도끼	장작을 팰 때, 사람과 악마를 팰 때 사용할 수 있는 실용적인 무기.\나무에게 사용하는 것을 권장한다.
1050193	도끼	장작을 팰 때, 사람과 악마를 팰 때 사용할 수 있는 실용적인 무기.\나무에게 사용하는 것을 권장한다.
1050194	도끼	장작을 팰 때, 사람과 악마를 팰 때 사용할 수 있는 실용적인 무기.\나무에게 사용하는 것을 권장한다.
1050195	도끼	장작을 팰 때, 사람과 악마를 팰 때 사용할 수 있는 실용적인 무기.\나무에게 사용하는 것을 권장한다.
1050201	할버드	칼날부터 창대까지 모두 명인이 직접 만든 수제품이다. 
1050202	할버드	칼날부터 창대까지 모두 명인이 직접 만든 수제품이다. 
1050203	할버드	칼날부터 창대까지 모두 명인이 직접 만든 수제품이다. 
1050204	할버드	칼날부터 창대까지 모두 명인이 직접 만든 수제품이다. 
1050205	할버드	칼날부터 창대까지 모두 명인이 직접 만든 수제품이다. 
1050211	가짜 언월도	만화월드에서 신비한 복장을 한 인간들이 자주 들고 다니는 것.\날은 없지만 부피가 커 위협적이다.
1050212	가짜 언월도	만화월드에서 신비한 복장을 한 인간들이 자주 들고 다니는 것.\날은 없지만 부피가 커 위협적이다.
1050213	가짜 언월도	만화월드에서 신비한 복장을 한 인간들이 자주 들고 다니는 것.\날은 없지만 부피가 커 위협적이다.
1050214	가짜 언월도	만화월드에서 신비한 복장을 한 인간들이 자주 들고 다니는 것.\날은 없지만 부피가 커 위협적이다.
1050215	가짜 언월도	만화월드에서 신비한 복장을 한 인간들이 자주 들고 다니는 것.\날은 없지만 부피가 커 위협적이다.
1050221	쌍절곤	가운데가 사슬로 연결된 쌍절곤.\무기보다는 과시용으로 주로 사용되는 듯하다… 
1050222	쌍절곤	가운데가 사슬로 연결된 쌍절곤.\무기보다는 과시용으로 주로 사용되는 듯하다… 
1050223	쌍절곤	가운데가 사슬로 연결된 쌍절곤.\무기보다는 과시용으로 주로 사용되는 듯하다… 
1050224	쌍절곤	가운데가 사슬로 연결된 쌍절곤.\무기보다는 과시용으로 주로 사용되는 듯하다… 
1050225	쌍절곤	가운데가 사슬로 연결된 쌍절곤.\무기보다는 과시용으로 주로 사용되는 듯하다… 
1050231	전기 체인톱	전설의 살인마가 사용했다는 체인톱이라는 소문을 들었다.\100% 국내제작.
1050232	전기 체인톱	전설의 살인마가 사용했다는 체인톱이라는 소문을 들었다.\100% 국내제작.
1050233	전기 체인톱	전설의 살인마가 사용했다는 체인톱이라는 소문을 들었다.\100% 국내제작.
1050234	전기 체인톱	전설의 살인마가 사용했다는 체인톱이라는 소문을 들었다.\100% 국내제작.
1050235	전기 체인톱	전설의 살인마가 사용했다는 체인톱이라는 소문을 들었다.\100% 국내제작.
1050241	하트 머신건	뜨거운 마음을 담아 난사할 수 있도록 특별히 고안되었다… \사랑은 무한! 무한한 마음을 담은 무한동력 머신건 
1050242	하트 머신건	뜨거운 마음을 담아 난사할 수 있도록 특별히 고안되었다… \사랑은 무한! 무한한 마음을 담은 무한동력 머신건 
1050243	하트 머신건	뜨거운 마음을 담아 난사할 수 있도록 특별히 고안되었다… \사랑은 무한! 무한한 마음을 담은 무한동력 머신건 
1050244	하트 머신건	뜨거운 마음을 담아 난사할 수 있도록 특별히 고안되었다… \사랑은 무한! 무한한 마음을 담은 무한동력 머신건 
1050245	하트 머신건	뜨거운 마음을 담아 난사할 수 있도록 특별히 고안되었다… \사랑은 무한! 무한한 마음을 담은 무한동력 머신건 
1050251	마법봉	마법소녀들이 사용하는 신비한 지팡이.\선택된 마법소녀가 아니면 사용할 수 없다.
1050252	마법봉	마법소녀들이 사용하는 신비한 지팡이.\선택된 마법소녀가 아니면 사용할 수 없다.
1050253	마법봉	마법소녀들이 사용하는 신비한 지팡이.\선택된 마법소녀가 아니면 사용할 수 없다.
1050254	마법봉	마법소녀들이 사용하는 신비한 지팡이.\선택된 마법소녀가 아니면 사용할 수 없다.
1050255	마법봉	마법소녀들이 사용하는 신비한 지팡이.\선택된 마법소녀가 아니면 사용할 수 없다.
1050261	신성한 석장	희미하게 영혼의 기운이 느껴지는 신성한 석장. \이건 분명히 진짜다.
1050262	신성한 석장	희미하게 영혼의 기운이 느껴지는 신성한 석장. \이건 분명히 진짜다.
1050263	신성한 석장	희미하게 영혼의 기운이 느껴지는 신성한 석장. \이건 분명히 진짜다.
1050264	신성한 석장	희미하게 영혼의 기운이 느껴지는 신성한 석장. \이건 분명히 진짜다.
1050265	신성한 석장	희미하게 영혼의 기운이 느껴지는 신성한 석장. \이건 분명히 진짜다.
1050271	동방 삼신기	휘두를 수만 있다면 하늘을 가르고 물살을 벤다는 전설의 명검. \…손에 넣었으니 이제 휘두르는 것이 문제다. 
1050272	동방 삼신기	휘두를 수만 있다면 하늘을 가르고 물살을 벤다는 전설의 명검. \…손에 넣었으니 이제 휘두르는 것이 문제다. 
1050273	동방 삼신기	휘두를 수만 있다면 하늘을 가르고 물살을 벤다는 전설의 명검. \…손에 넣었으니 이제 휘두르는 것이 문제다. 
1050274	동방 삼신기	휘두를 수만 있다면 하늘을 가르고 물살을 벤다는 전설의 명검. \…손에 넣었으니 이제 휘두르는 것이 문제다. 
1050275	동방 삼신기	휘두를 수만 있다면 하늘을 가르고 물살을 벤다는 전설의 명검. \…손에 넣었으니 이제 휘두르는 것이 문제다. 
1050281	고오급 죽창	평화를 위한 근력 투쟁!\자격을 갖춘 자는 누구나 사용할 수 있다.
1050282	고오급 죽창	평화를 위한 근력 투쟁!\자격을 갖춘 자는 누구나 사용할 수 있다.
1050283	고오급 죽창	평화를 위한 근력 투쟁!\자격을 갖춘 자는 누구나 사용할 수 있다.
1050284	고오급 죽창	평화를 위한 근력 투쟁!\자격을 갖춘 자는 누구나 사용할 수 있다.
1050285	고오급 죽창	평화를 위한 근력 투쟁!\자격을 갖춘 자는 누구나 사용할 수 있다.
1050291	반반 백작의 성검	과거 무마니 지역을 통솔했던 성군 반반 백작의 성스러운 검. \짝이 되는 형제검 프라이드는 현재 유실되었다고 한다. 
1050292	반반 백작의 성검	과거 무마니 지역을 통솔했던 성군 반반 백작의 성스러운 검. \짝이 되는 형제검 프라이드는 현재 유실되었다고 한다. 
1050293	반반 백작의 성검	과거 무마니 지역을 통솔했던 성군 반반 백작의 성스러운 검. \짝이 되는 형제검 프라이드는 현재 유실되었다고 한다. 
1050294	반반 백작의 성검	과거 무마니 지역을 통솔했던 성군 반반 백작의 성스러운 검. \짝이 되는 형제검 프라이드는 현재 유실되었다고 한다. 
1050295	반반 백작의 성검	과거 무마니 지역을 통솔했던 성군 반반 백작의 성스러운 검. \짝이 되는 형제검 프라이드는 현재 유실되었다고 한다. 
1050301	큐트 싸리빗자루	실사용은 불가능한 단순 인테리어용 귀여운 싸리 빗자루. \인테리어용이기 때문에 더 비싸다. 
1050302	큐트 싸리빗자루	실사용은 불가능한 단순 인테리어용 귀여운 싸리 빗자루. \인테리어용이기 때문에 더 비싸다. 
1050303	큐트 싸리빗자루	실사용은 불가능한 단순 인테리어용 귀여운 싸리 빗자루. \인테리어용이기 때문에 더 비싸다. 
1050304	큐트 싸리빗자루	실사용은 불가능한 단순 인테리어용 귀여운 싸리 빗자루. \인테리어용이기 때문에 더 비싸다. 
1050305	큐트 싸리빗자루	실사용은 불가능한 단순 인테리어용 귀여운 싸리 빗자루. \인테리어용이기 때문에 더 비싸다. 
1050311	무녀의 은장도	부정 가고 복 오시오, \멀리 멀리 부정은 가고 이리 이리 복 오시오.
1050312	무녀의 은장도	부정 가고 복 오시오, \멀리 멀리 부정은 가고 이리 이리 복 오시오.
1050313	무녀의 은장도	부정 가고 복 오시오, \멀리 멀리 부정은 가고 이리 이리 복 오시오.
1050314	무녀의 은장도	부정 가고 복 오시오, \멀리 멀리 부정은 가고 이리 이리 복 오시오.
1050315	무녀의 은장도	부정 가고 복 오시오, \멀리 멀리 부정은 가고 이리 이리 복 오시오.
1050321	1st 애니버서리 팡팡	모험이 시작된 지 어느덧 1년! \성대한 파티를 위해 강력하게 개조한 마도 병기.
1050322	1st 애니버서리 팡팡	모험이 시작된 지 어느덧 1년! \성대한 파티를 위해 강력하게 개조한 마도 병기.
1050323	1st 애니버서리 팡팡	모험이 시작된 지 어느덧 1년! \성대한 파티를 위해 강력하게 개조한 마도 병기.
1050324	1st 애니버서리 팡팡	모험이 시작된 지 어느덧 1년! \성대한 파티를 위해 강력하게 개조한 마도 병기.
1050325	1st 애니버서리 팡팡	모험이 시작된 지 어느덧 1년! \성대한 파티를 위해 강력하게 개조한 마도 병기.
1050331	퀸테센스 플라스크	신비한 원소가 담겨있는 신비한 플라스크. \제조법을 잊어버려 두 번 다시 만들 수 없다…
1050332	퀸테센스 플라스크	신비한 원소가 담겨있는 신비한 플라스크. \제조법을 잊어버려 두 번 다시 만들 수 없다…
1050333	퀸테센스 플라스크	신비한 원소가 담겨있는 신비한 플라스크. \제조법을 잊어버려 두 번 다시 만들 수 없다…
1050334	퀸테센스 플라스크	신비한 원소가 담겨있는 신비한 플라스크. \제조법을 잊어버려 두 번 다시 만들 수 없다…
1050335	퀸테센스 플라스크	신비한 원소가 담겨있는 신비한 플라스크. \제조법을 잊어버려 두 번 다시 만들 수 없다…
1050341	산타클로스의 지팡이	착한 악마에게는 달콤한 크리스마스 사탕을,\ 못된 악마에게는 사랑의 크리스마스 회초리를......
1050342	산타클로스의 지팡이	착한 악마에게는 달콤한 크리스마스 사탕을,\ 못된 악마에게는 사랑의 크리스마스 회초리를......
1050343	산타클로스의 지팡이	착한 악마에게는 달콤한 크리스마스 사탕을,\ 못된 악마에게는 사랑의 크리스마스 회초리를......
1050344	산타클로스의 지팡이	착한 악마에게는 달콤한 크리스마스 사탕을,\ 못된 악마에게는 사랑의 크리스마스 회초리를......
1050345	산타클로스의 지팡이	착한 악마에게는 달콤한 크리스마스 사탕을,\ 못된 악마에게는 사랑의 크리스마스 회초리를......
1050361	신벌의 창	마아트의 영혼의 일부가 실체화된 성스러운 창.\그 창끝은 자신을 향해 있을지도 모르는 일이다.
1050362	신벌의 창	마아트의 영혼의 일부가 실체화된 성스러운 창.\그 창끝은 자신을 향해 있을지도 모르는 일이다.
1050363	신벌의 창	마아트의 영혼의 일부가 실체화된 성스러운 창.\그 창끝은 자신을 향해 있을지도 모르는 일이다.
1050364	신벌의 창	마아트의 영혼의 일부가 실체화된 성스러운 창.\그 창끝은 자신을 향해 있을지도 모르는 일이다.
1050365	신벌의 창	마아트의 영혼의 일부가 실체화된 성스러운 창.\그 창끝은 자신을 향해 있을지도 모르는 일이다.
1050371	악의 꽃	아슈토레스의 사냥법에 맞춰 개조한 변형 검.\한 번 박히면 쉽게 빠져나오지 않는다…
1050372	악의 꽃	아슈토레스의 사냥법에 맞춰 개조한 변형 검.\한 번 박히면 쉽게 빠져나오지 않는다…
1050373	악의 꽃	아슈토레스의 사냥법에 맞춰 개조한 변형 검.\한 번 박히면 쉽게 빠져나오지 않는다…
1050374	악의 꽃	아슈토레스의 사냥법에 맞춰 개조한 변형 검.\한 번 박히면 쉽게 빠져나오지 않는다…
1050375	악의 꽃	아슈토레스의 사냥법에 맞춰 개조한 변형 검.\한 번 박히면 쉽게 빠져나오지 않는다…
1050381	RAGE 444mg	정맥을 흐르는 분노가 새로운 힘을 낳았다. \드미테르의 분노가 담긴 주사기.
1050382	RAGE 444mg	정맥을 흐르는 분노가 새로운 힘을 낳았다. \드미테르의 분노가 담긴 주사기.
1050383	RAGE 444mg	정맥을 흐르는 분노가 새로운 힘을 낳았다. \드미테르의 분노가 담긴 주사기.
1050384	RAGE 444mg	정맥을 흐르는 분노가 새로운 힘을 낳았다. \드미테르의 분노가 담긴 주사기.
1050385	RAGE 444mg	정맥을 흐르는 분노가 새로운 힘을 낳았다. \드미테르의 분노가 담긴 주사기.
1050411	프리저브드 부케	맹세의 순간을 박제한 프리저브드 부케. \시들지 않는, 영원한 사랑을 당신에게.
1050412	프리저브드 부케	맹세의 순간을 박제한 프리저브드 부케. \시들지 않는, 영원한 사랑을 당신에게.
1050413	프리저브드 부케	맹세의 순간을 박제한 프리저브드 부케. \시들지 않는, 영원한 사랑을 당신에게.
1050414	프리저브드 부케	맹세의 순간을 박제한 프리저브드 부케. \시들지 않는, 영원한 사랑을 당신에게.
1050415	프리저브드 부케	맹세의 순간을 박제한 프리저브드 부케. \시들지 않는, 영원한 사랑을 당신에게.
1050431	스틸 로즈	이름과는 달리 실제 장미는 아니다. \브리지드의 마력으로 수축·확대되는 마력구.
1050432	스틸 로즈	이름과는 달리 실제 장미는 아니다. \브리지드의 마력으로 수축·확대되는 마력구.
1050433	스틸 로즈	이름과는 달리 실제 장미는 아니다. \브리지드의 마력으로 수축·확대되는 마력구.
1050434	스틸 로즈	이름과는 달리 실제 장미는 아니다. \브리지드의 마력으로 수축·확대되는 마력구.
1050435	스틸 로즈	이름과는 달리 실제 장미는 아니다. \브리지드의 마력으로 수축·확대되는 마력구.
1050451	얼터드 나이트	수상한 마력이 깃든 검은 날개 2쌍. \어딘가 외로운 느낌이 든다…
1050452	얼터드 나이트	수상한 마력이 깃든 검은 날개 2쌍. \어딘가 외로운 느낌이 든다…
1050453	얼터드 나이트	수상한 마력이 깃든 검은 날개 2쌍. \어딘가 외로운 느낌이 든다…
1050454	얼터드 나이트	수상한 마력이 깃든 검은 날개 2쌍. \어딘가 외로운 느낌이 든다…
1050455	얼터드 나이트	수상한 마력이 깃든 검은 날개 2쌍. \어딘가 외로운 느낌이 든다…
1050461	고딕 파라솔	강력한 자외선 차단 기능이 붙어있는 바토리의 고딕 양산. \말린 장미 향기가 난다.
1050462	고딕 파라솔	강력한 자외선 차단 기능이 붙어있는 바토리의 고딕 양산. \말린 장미 향기가 난다.
1050463	고딕 파라솔	강력한 자외선 차단 기능이 붙어있는 바토리의 고딕 양산. \말린 장미 향기가 난다.
1050464	고딕 파라솔	강력한 자외선 차단 기능이 붙어있는 바토리의 고딕 양산. \말린 장미 향기가 난다.
1050465	고딕 파라솔	강력한 자외선 차단 기능이 붙어있는 바토리의 고딕 양산. \말린 장미 향기가 난다.
1050471	다이아몬드 마이크	나탈리스 전용 인터뷰용 마이크.\이 마이크 앞에서는 무슨 비밀이든 털어놓고 만다.
1050472	다이아몬드 마이크	나탈리스 전용 인터뷰용 마이크.\이 마이크 앞에서는 무슨 비밀이든 털어놓고 만다.
1050473	다이아몬드 마이크	나탈리스 전용 인터뷰용 마이크.\이 마이크 앞에서는 무슨 비밀이든 털어놓고 만다.
1050474	다이아몬드 마이크	나탈리스 전용 인터뷰용 마이크.\이 마이크 앞에서는 무슨 비밀이든 털어놓고 만다.
1050475	다이아몬드 마이크	나탈리스 전용 인터뷰용 마이크.\이 마이크 앞에서는 무슨 비밀이든 털어놓고 만다.
1050491	설날 제기	풍문으로 전해져 내려오는 겨울철 전통 놀이도구. \부주상골 파손의 주원인이었다고 한다.
1050492	설날 제기	풍문으로 전해져 내려오는 겨울철 전통 놀이도구. \부주상골 파손의 주원인이었다고 한다.
1050493	설날 제기	풍문으로 전해져 내려오는 겨울철 전통 놀이도구. \부주상골 파손의 주원인이었다고 한다.
1050494	설날 제기	풍문으로 전해져 내려오는 겨울철 전통 놀이도구. \부주상골 파손의 주원인이었다고 한다.
1050495	설날 제기	풍문으로 전해져 내려오는 겨울철 전통 놀이도구. \부주상골 파손의 주원인이었다고 한다.
1050501	다나의 목장	어리석은 자들을 인도하시는 다나 님의 지팡이
1050502	다나의 목장	어리석은 자들을 인도하시는 다나 님의 지팡이
1050503	다나의 목장	어리석은 자들을 인도하시는 다나 님의 지팡이
1050504	다나의 목장	어리석은 자들을 인도하시는 다나 님의 지팡이
1050505	다나의 목장	어리석은 자들을 인도하시는 다나 님의 지팡이
1050511	노장의 파워너클	수많은 악마의 어금니를 추수한 강력한 너클. \쿠바바는 사실 근접전에 더 강하다는 소문이 있다.
1050512	노장의 파워너클	수많은 악마의 어금니를 추수한 강력한 너클. \쿠바바는 사실 근접전에 더 강하다는 소문이 있다.
1050513	노장의 파워너클	수많은 악마의 어금니를 추수한 강력한 너클. \쿠바바는 사실 근접전에 더 강하다는 소문이 있다.
1050514	노장의 파워너클	수많은 악마의 어금니를 추수한 강력한 너클. \쿠바바는 사실 근접전에 더 강하다는 소문이 있다.
1050515	노장의 파워너클	수많은 악마의 어금니를 추수한 강력한 너클. \쿠바바는 사실 근접전에 더 강하다는 소문이 있다.
1050521	Deviloid V6	보탄의 기록용 마력 폴라로이드. \이 기계를 거쳐 많은 것들이 밝혀졌다. 
1050522	Deviloid V6	보탄의 기록용 마력 폴라로이드. \이 기계를 거쳐 많은 것들이 밝혀졌다. 
1050523	Deviloid V6	보탄의 기록용 마력 폴라로이드. \이 기계를 거쳐 많은 것들이 밝혀졌다. 
1050524	Deviloid V6	보탄의 기록용 마력 폴라로이드. \이 기계를 거쳐 많은 것들이 밝혀졌다. 
1050525	Deviloid V6	보탄의 기록용 마력 폴라로이드. \이 기계를 거쳐 많은 것들이 밝혀졌다. 
1050531	리모스 트라이던트	빠르고 정확하게 다수의 도넛을 찌를 수 있는\리모스 전용 짧은 삼지창. 포크 대신 쓰인다.
